"Bulletin","Year","Region","Lat","Lon","Coverage"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Piedmont",45.2564901,6.6012108,"26.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Aosta Valley",45.7272929,7.040516,"86.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Lombardy",45.6518179,8.435073,"17.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"AP Bolzano",46.4892883,11.305958,"72.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"AP Trento",46.0804746,10.9644626,"81.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Veneto",45.7301202,10.5426991,"69.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Friuli-Venezia Giulia",46.11346,12.4604417,"74.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Liguria",44.2124269,7.4637219,"18.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Emilia-Romagna",44.4298739,9.6574873,"77.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Tuscany",43.3495951,9.709716,"62.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Umbria",42.9900108,11.918603,"51.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Marche",43.322943,11.7315879,"19.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Lazio",41.8062293,11.4191585,"19.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Abruzzo",42.2877212,13.2413182,"16.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Molise",41.7160373,13.8918531,"59.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Campania",40.7435368,13.4649019,"41.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Apulia",41.002651,15.4078679,"15.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Basilicata",40.5165326,15.4416405,"26.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Calabria",39.0245459,15.0986956,"25.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Sicily",37.1276581,11.1480278,"8.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Sardinia",40.0562432,7.6595306,"31.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf",2018,"Italy",40.8195235,2.1157285,"35.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Piedmont",45.2564901,6.6012108,"23.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Aosta Valley",45.7272929,7.040516,"87.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Lombardy",45.6518179,8.435073,"13.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"AP Bolzano",46.4892883,11.305958,"87.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"AP Trento",46.0804746,10.9644626,"76.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Veneto",45.7301202,10.5426991,"69.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Friuli-Venezia Giulia",46.11346,12.4604417,"97.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Liguria",44.2124269,7.4637219,"48.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Emilia-Romagna",44.4298739,9.6574873,"76.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Tuscany",43.3495951,9.709716,"70.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Umbria",42.9900108,11.918603,"76.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Marche",43.322943,11.7315879,"29.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Lazio",41.8062293,11.4191585,"26.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Abruzzo",42.2877212,13.2413182,"18.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Molise",41.7160373,13.8918531,"30.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Campania",40.7435368,13.4649019,"48.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Apulia",41.002651,15.4078679,"15.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Basilicata",40.5165326,15.4416405,"61.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Calabria",39.0245459,15.0986956,"11.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Sicily",37.1276581,11.1480278,"51.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Sardinia",40.0562432,7.6595306,"31.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2019.pdf",2019,"Italy",40.8195235,2.1157285,"41.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf",2020,"Piedmont",45.2564901,6.6012108,"26.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf",2020,"Aosta Valley",45.7272929,7.040516,"87.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf",2020,"Lombardy",45.6518179,8.435073,"39.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf",2020,"AP Bolzano",46.4892883,11.305958,"82.8"
