"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"﻿10.4315/0362-028x-70.8.1940","Roasto",2007,"EST",59.35,25.01,"2005-09-01",NA,"Chicken",NA,"Faecal","BD","Campylobacter","jejuni",1254,7,105,"AMP","J01CA01",9.5,NA,NA,"32 ug/mL","Geographic information came from author","Aminopenicillins","Critically important"
"﻿10.4315/0362-028x-70.8.1940","Roasto",2007,"EST",59.35,25.01,"2005-09-01",NA,"Chicken",NA,"Faecal","BD","Campylobacter","jejuni",1254,7,105,"GEN","J01GB03",23.8,NA,NA,"8 ug/mL","Geographic information came from author","Aminoglycosides","Critically important"
"﻿10.4315/0362-028x-70.8.1940","Roasto",2007,"EST",59.35,25.01,"2005-09-01",NA,"Chicken",NA,"Faecal","BD","Campylobacter","jejuni",1254,7,105,"NAL","J01MB02",74.3,NA,NA,"32 ug/mL","Geographic information came from author","Quinolones","Critically important"
"﻿10.4315/0362-028x-70.8.1940","Roasto",2007,"EST",59.35,25.01,"2005-09-01",NA,"Chicken",NA,"Faecal","BD","Campylobacter","jejuni",1254,7,105,"ERY","J01FA01",19,NA,NA,"16 ug/mL","Geographic information came from author","Macrolides","Critically important"
"﻿10.4315/0362-028x-70.8.1940","Roasto",2007,"EST",59.35,25.01,"2005-09-01",NA,"Chicken",NA,"Meat","BD","Campylobacter","jejuni",340,7.6,26,"AMP","J01CA01",0,NA,NA,"32 ug/mL","Geographic information came from author","Aminopenicillins","Critically important"
"﻿10.4315/0362-028x-70.8.1940","Roasto",2007,"EST",59.35,25.01,"2005-09-01",NA,"Chicken",NA,"Meat","BD","Campylobacter","jejuni",340,7.6,26,"GEN","J01GB03",0,NA,NA,"8 ug/mL","Geographic information came from author","Aminoglycosides","Critically important"
"﻿10.4315/0362-028x-70.8.1940","Roasto",2007,"EST",59.35,25.01,"2005-09-01",NA,"Chicken",NA,"Meat","BD","Campylobacter","jejuni",340,7.6,26,"NAL","J01MB02",80.8,NA,NA,"32 ug/mL","Geographic information came from author","Quinolones","Critically important"
"﻿10.4315/0362-028x-70.8.1940","Roasto",2007,"EST",59.35,25.01,"2005-09-01",NA,"Chicken",NA,"Meat","BD","Campylobacter","jejuni",340,7.6,26,"ERY","J01FA01",23.1,NA,NA,"16 ug/mL","Geographic information came from author","Macrolides","Critically important"
