"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Sex","Microorganism","Isolated","Percent"
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",0,NA
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",0,NA
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",2696,46
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",2696,53
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",791,45
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",791,54
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",1078,44
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",1078,54
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",1433,44
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",1433,54
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",1132,39
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",1132,59
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",2064,41
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",2064,58
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",116,36
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",116,64
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",0,NA
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",0,NA
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",3427,49
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",3427,50
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",1217,43
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",1217,57
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",977,48
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",977,52
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",1690,42
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",1690,58
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",1181,41
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",1181,59
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",2242,34
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",2242,66
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",153,36
2013,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",153,64
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",1486,46
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",1486,54
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",2794,48
