"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Sex","Microorganism","Isolated","Percent"
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",2794,52
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",911,50
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",911,50
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",816,48
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",816,51
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",1614,43
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",1614,57
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",988,40
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",988,60
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",1919,42
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",1919,58
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",142,35
2014,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",142,64
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",2425,40
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",2425,54
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",4172,45
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",4172,50
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",1673,44
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",1673,50
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",1496,44
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",1496,48
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",2575,45
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",2575,54
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",1351,42
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",1351,54
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",2601,40
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",2601,55
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",186,33
2015,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",186,62
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",2466,44
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",2466,56
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",3987,47
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",3987,53
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",1589,48
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",1589,52
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",1524,48
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",1524,52
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",2916,44
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",2916,56
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",1334,43
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",1334,57
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",2500,43
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",2500,57
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",183,37
2016,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",183,63
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",2621,42
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",2621,58
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",4461,49
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",4461,51
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",1735,48
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",1735,52
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",1587,48
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",1587,52
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",3233,44
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",3233,56
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",1605,40
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",1605,60
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",3231,42
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",3231,58
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",235,39
2017,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",235,61
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",2764,44
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",2764,56
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",5083,48
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",5083,52
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",1957,50
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",1957,50
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",1670,48
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",1670,52
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",3853,42
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",3853,58
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",1779,41
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",1779,59
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",3397,43
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",3397,57
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",253,36
2018,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",253,64
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",2483,44
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",2483,56
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",5009,48
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",5009,52
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",1978,50
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",1978,50
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",1831,50
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",1831,50
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",4180,45
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",4180,55
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",1731,42
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",1731,58
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",3481,43
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",3481,57
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",228,41
2019,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",228,59
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",3170,40
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",3170,60
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",4363,49
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",4363,51
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",2135,48
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",2135,52
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",2204,47
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",2204,53
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",4534,44
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",4534,56
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",1556,44
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",1556,56
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",3614,41
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",3614,59
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",132,27
2020,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",132,73
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",3516,42
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",3516,58
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",4977,49
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",4977,51
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",2166,48
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",2166,52
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",2567,46
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",2567,54
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",4852,43
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",4852,57
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",1868,43
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",1868,57
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",3882,43
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",3882,57
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",158,30
2021,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",158,70
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Acinetobacter spp.",2706,44
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Acinetobacter spp.",2706,56
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Escherichia coli",4850,48
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Escherichia coli",4850,52
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecalis",2052,49
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecalis",2052,51
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Enterococcus faecium",2450,48
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Enterococcus faecium",2450,52
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Klebsiella pneumoniae",4853,43
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Klebsiella pneumoniae",4853,57
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Pseudomonas aeruginosa",1672,41
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Pseudomonas aeruginosa",1672,59
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Staphylococcus aureus",3518,43
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Staphylococcus aureus",3518,57
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Female","Streptococcus pneumoniae",260,42
2022,"Türkiye","TUR",792,38.6226863,24.5239512,"Male","Streptococcus pneumoniae",260,58
