"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Age_group","Microorganism","Isolated","Percent"
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Streptococcus pneumoniae",6,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Acinetobacter spp.",31,35
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Acinetobacter spp.",31,42
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Acinetobacter spp.",31,0
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Acinetobacter spp.",31,19
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Escherichia coli",56,5
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Escherichia coli",56,34
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Escherichia coli",56,4
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Escherichia coli",56,43
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecalis",23,0
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecalis",23,35
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecalis",23,0
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecalis",23,57
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecium",10,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecium",10,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecium",10,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecium",10,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Klebsiella pneumoniae",24,58
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Klebsiella pneumoniae",24,8
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Klebsiella pneumoniae",24,4
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Klebsiella pneumoniae",24,25
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Pseudomonas aeruginosa",12,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Pseudomonas aeruginosa",12,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Pseudomonas aeruginosa",12,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Pseudomonas aeruginosa",12,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Staphylococcus aureus",56,29
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Staphylococcus aureus",56,43
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Staphylococcus aureus",56,5
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Staphylococcus aureus",56,16
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Streptococcus pneumoniae",5,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Streptococcus pneumoniae",5,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Streptococcus pneumoniae",5,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Streptococcus pneumoniae",5,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Acinetobacter spp.",36,17
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Acinetobacter spp.",36,47
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Acinetobacter spp.",36,8
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Acinetobacter spp.",36,17
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Escherichia coli",64,6
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Escherichia coli",64,42
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Escherichia coli",64,5
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Escherichia coli",64,33
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecalis",28,7
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecalis",28,64
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecalis",28,0
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecalis",28,29
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecium",19,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecium",19,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecium",19,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecium",19,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Klebsiella pneumoniae",24,38
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Klebsiella pneumoniae",24,38
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Klebsiella pneumoniae",24,4
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Klebsiella pneumoniae",24,21
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Pseudomonas aeruginosa",17,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Pseudomonas aeruginosa",17,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Pseudomonas aeruginosa",17,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Pseudomonas aeruginosa",17,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Staphylococcus aureus",69,19
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Staphylococcus aureus",69,49
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Staphylococcus aureus",69,0
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Staphylococcus aureus",69,22
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Streptococcus pneumoniae",12,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Streptococcus pneumoniae",12,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Streptococcus pneumoniae",12,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Streptococcus pneumoniae",12,NA
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Acinetobacter spp.",29,21
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Acinetobacter spp.",29,45
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Acinetobacter spp.",29,14
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Acinetobacter spp.",29,17
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Escherichia coli",76,3
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Escherichia coli",76,55
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Escherichia coli",76,3
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Escherichia coli",76,39
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecalis",21,5
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecalis",21,43
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecalis",21,5
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecalis",21,48
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecium",29,7
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecium",29,38
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecium",29,10
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecium",29,45
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Klebsiella pneumoniae",24,17
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Klebsiella pneumoniae",24,50
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Klebsiella pneumoniae",24,0
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Klebsiella pneumoniae",24,33
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Pseudomonas aeruginosa",17,NA
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Pseudomonas aeruginosa",17,NA
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Pseudomonas aeruginosa",17,NA
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Pseudomonas aeruginosa",17,NA
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Staphylococcus aureus",52,17
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Staphylococcus aureus",52,44
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Staphylococcus aureus",52,4
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Staphylococcus aureus",52,35
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Streptococcus pneumoniae",6,NA
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Streptococcus pneumoniae",6,NA
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Streptococcus pneumoniae",6,NA
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Streptococcus pneumoniae",6,NA
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Acinetobacter spp.",27,33
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Acinetobacter spp.",27,59
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Acinetobacter spp.",27,4
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Acinetobacter spp.",27,4
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Escherichia coli",54,9
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Escherichia coli",54,44
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Escherichia coli",54,0
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Escherichia coli",54,44
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecalis",36,8
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecalis",36,44
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecalis",36,0
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecalis",36,47
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecium",31,16
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecium",31,55
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecium",31,3
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecium",31,23
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Klebsiella pneumoniae",39,36
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Klebsiella pneumoniae",39,26
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Klebsiella pneumoniae",39,8
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Klebsiella pneumoniae",39,31
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Pseudomonas aeruginosa",11,NA
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Pseudomonas aeruginosa",11,NA
2018,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Pseudomonas aeruginosa",11,NA
